number,type
3,intel core i5-7600
3,intel xeon e3-1275 v3
3,intel pentium g6950
3,intel xeon e3-1265l v3
3,intel xeon e3-1240 v3
3,intel xeon e3-1230 v3
3,intel xeon e3-1220l
3,intel xeon 5355
3,intel xeon 4110
3,intel pentium p6200
3,intel core i5-2550k
3,intel pentium g870
3,intel pentium g860
3,intel pentium g4600
3,amd  fx-4100
3,intel core i5-4310m
3,amd athlon 300u
3,amd fx-8370
3,amd athlon 64 x2 4200+
3,amd ryzen series r3-1200 r3-1300x
3,amd ryzen 9 5950x
3,amd ryzen 9 3900
3,intel core 2 duo 6300
3,amd athlon 64 3000+
3,amd opteron 2435
3,intel core 2 duo e6320
3,amd phenom ii x2 511
3,amd ryzen 7 3700u
3,amd am486dx2
3,amd opteron 6174
3,amd opteron 6180
3,intel core 2 duo t5600
3,amd ryzen 5 3500
3,amd ryzen 5 2400ge
3,amd a6-9500e
3,amd fx-8310
3,amd fx-8100/fx-8120/fx-8150
3,amd fx-4350
3,amd athlon ii 170u
3,amd e2-3200
3,amd epyc 7251
3,amd athlon x2 7550
3,amd r5 3600x
3,amd epyc 7351
3,amd epyc 7351p
3,amd sempron le-1200
3,amd athlon x2 3800+
3,amd athlon x2
3,amd epyc 7501
3,amd athlon ii x4 641
3,amd athlon ii x4 631
3,amd athlon ii x4 610e
3,amd athlon ii x3 440
3,amd athlon ii x2 b26
3,amd sempron 2500+
3,amd athlon ii p320
3,amd a6-6400
3,amd opteron 6128
3,amd phenom x3 8450
3,amd phenom ii x4 810
3,amd phenom ii x4 970
3,intel core 2 duo t8300
3,amd phenom ii x4 b95
3,amd a10-5800b
3,amd 7 3700x
3,amd phenom x4 9500
3,amd a6-3620
3,amd phenom ii x4 830
3,intel core 2 duo t9900
3,amd phenom ii x6
3,amd a6-3400m
3,amd phenom ii x3 b75
3,intel core 2 duo t7400
3,amd a12-9800e
3,amd a6-5350m
3,amd ryzen
2,intel xeon e-2124
2,amd epyc 7502p
2,intel xeon 6134
2,amd epyc 7451
2,amd epyc 7552
2,amd phenom x4 9600
2,amd epyc 7551p
