soldprice,date,model
220.0,2021-04-14 14:21:08,AMD Ryzen 5 PRO 3400GE
200.0,2021-04-13 20:20:20,AMD A8-7600
998.0,2021-04-13 06:20:51,AMDR9-5900X
214.68,2021-04-13 00:11:32,R5 3600
829.99,2021-04-12 21:33:57,YD295XA8UGAAF
3256.11,2021-04-12 16:27:22,AMD EPYC 7F72
329.99,2021-04-12 15:01:23,3700X
254.99,2021-04-12 15:01:23,2700
649.0,2021-04-12 10:41:58,AMD R5-5600X
468.8,2021-04-12 10:26:34,AMD R5-5600X
207.68,2021-04-12 09:28:00,AMD 3300X
207.0,2021-04-12 08:37:30,AMD
284.0,2021-04-12 08:30:04,Ryzen 5 Pro 4650g
495.0,2021-04-12 08:21:15,AMD
814.0,2021-04-11 19:50:59,NO
298.0,2021-04-10 23:39:08,AMD Ryzen 7 1700X
745.0,2021-04-10 23:20:43,AMD Ryzen 3 2200G
449.99,2021-04-10 20:23:00,AMD Ryzen 5 5600X BOX Processor
379.49,2021-04-10 02:22:31,AMD Ryzen Threadripper 1950X
233.18,2021-04-10 01:37:26,Athlon X2 7850
249.99,2021-04-10 00:11:53,AMD Ryzen 5 2400G
225.0,2021-04-09 13:43:45,AMD Ryzen 7 2700X
450.0,2021-04-08 17:29:27,Amd Ryzen 7 5800x
528.94,2021-04-08 14:08:49,Not Available
294.99,2021-04-08 08:34:25,AMD EPYC 7351P
648.0,2021-04-08 03:33:22,AMD Ryzen 7 5800X
459.0,2021-04-08 03:26:12,AMD Ryzen 5 5600X
649.99,2021-04-07 16:08:46,AMD 3950X
200.0,2021-04-07 02:49:25,AMD A6-3650
797.0,2021-04-06 17:18:59,NO
400.0,2021-04-06 08:20:50,AMD Phenom II X4 960T Black
435.0,2021-04-06 07:19:48,AMD Ryzen 9 3900X
400.0,2021-04-06 05:13:14,AMD Ryzen Threadripper 1950X
380.0,2021-04-05 20:00:30,AMD Phenom II X6 1055T
649.99,2021-04-05 19:01:41,YD295XA8UGAAF
399.0,2021-04-05 06:33:15,EPYC 7281
499.0,2021-04-05 06:29:31,EPYC 7301
599.0,2021-04-05 06:20:20,NO
830.0,2021-04-05 06:13:11,AMD Ryzen 7 5800X
455.0,2021-04-05 06:07:54,AMD Ryzen 7 3700X
469.0,2021-04-05 05:57:13,AMD Ryzen 5 5600X
360.0,2021-04-05 03:50:53,AMD Athlon II X4 645
297.41,2021-04-03 03:46:19,Ryzen 7 2700
238.99,2021-04-02 03:26:56,AMD Ryzen 7 2700X
207.78,2021-04-01 21:53:53,AMD Ryzen 5 3600X
210.0,2021-04-01 07:55:59,AMD R5 3600
216.8,2021-03-31 20:34:26,AMD FX-9590
251.5,2021-03-31 20:30:21,AMD FX-8370E
250.47,2021-03-31 09:07:43,AMD EPYC 7251
249.87,2021-03-30 23:12:37,AMD EPYC 7261
217.62,2021-03-30 00:48:16,AMD Ryzen 7 1700
212.5,2021-03-29 22:18:17,Not Available
699.0,2021-03-29 15:56:15,AMD EPYC 7601
659.88,2021-03-27 06:49:35,AMD Ryzen 9 3900XT
250.0,2021-03-27 06:04:42,AMD Ryzen 5 2600
449.0,2021-03-26 06:31:22,7252
409.99,2021-03-25 22:43:52,NO
4400.0,2021-04-29 02:22:08,xeon Platinum 8269CY
279.0,2021-04-29 02:00:42,Intel Core i7-7700K
400.0,2021-04-29 01:45:27,Intel Xeon Silver 4210
225.0,2021-04-29 01:38:10,Intel Core i7-6700
245.0,2021-04-29 01:04:48,Intel Core i7-9700
269.99,2021-04-29 00:56:34,Intel Core i5-6500T
220.0,2021-04-29 00:04:11,Intel Core i7-8700
850.0,2021-04-29 00:00:17,Intel Core i9-9900K
204.0,2021-04-28 23:59:54,Intel Core i7-6700
835.0,2021-04-28 23:42:51,Xeon Gold 6142 SR3AY
648.0,2021-04-28 23:28:26,NO
648.0,2021-04-28 23:28:22,NO
648.0,2021-04-28 23:28:17,NO
699.99,2021-04-28 23:19:58,Platinum 8168
260.0,2021-04-28 23:12:47,NO
249.0,2021-04-28 23:12:43,NO
249.0,2021-04-28 23:12:39,NO
230.0,2021-04-28 22:33:42,NO
219.98,2021-04-28 22:33:36,NO
219.98,2021-04-28 22:33:31,NO
260.0,2021-04-28 22:15:44,NO
249.98,2021-04-28 22:15:39,NO
249.98,2021-04-28 22:15:34,NO
200.0,2021-04-28 22:04:48,Intel Core i9-9900X
269.99,2021-04-28 21:59:00,Intel Core i7-6700K
398.0,2021-04-28 21:52:48,Intel Xeon 4208
398.0,2021-04-28 21:52:43,NO
200.0,2021-04-28 21:47:14,E5-2680 v3
2050.0,2021-04-28 21:43:23,Intel Xeon 6242
2024.99,2021-04-28 21:43:18,NO
2024.99,2021-04-28 21:43:13,NO
2024.99,2021-04-28 21:43:08,NO
2500.0,2021-04-28 21:39:55,NO
1800.0,2021-04-28 21:10:08,INTEL XEON 6152
1800.0,2021-04-28 21:10:04,INTEL XEON 6152
1800.0,2021-04-28 21:09:59,INTEL XEON 6152
325.0,2021-04-28 21:07:35,Intel Core i7-6700K
5000.0,2021-04-28 20:55:27,Intel Core i5-4570
279.99,2021-04-28 20:54:13,Intel Core i9-9900K
205.0,2021-04-28 20:27:58,NO
205.0,2021-04-28 20:27:52,NO
1000.0,2021-04-28 20:24:39,Intel Core i3-4130
220.0,2021-04-28 20:16:39,NO
210.0,2021-04-28 20:15:33,NO
210.0,2021-04-28 20:15:28,NO
210.0,2021-04-28 20:15:23,NO
450.0,2021-04-28 19:58:38,Intel Xeon E5-2660 V4
2298.0,2021-04-28 19:51:43,GOLD 6248R
2298.0,2021-04-28 19:51:39,GOLD 6248R
340.0,2021-04-28 19:43:32,Intel Core i9-9900K
540.0,2021-04-28 19:39:17,Intel Xeon E5-2650 V3
300.0,2021-04-28 19:27:48,Intel Core i9-9900K
2600.0,2021-04-28 19:24:28,SR0KH
360.0,2021-04-28 19:19:49,Intel Core i5-6500
299.99,2021-04-28 18:48:03,Intel Xeon silver 4110
385.0,2021-04-28 18:32:07,SR0RG
1469.0,2021-04-28 18:31:56,Intel Xeon GOLD 5218R
1469.0,2021-04-28 18:31:52,Intel Xeon GOLD 5218R
1469.0,2021-04-28 18:31:48,Intel Xeon GOLD 5218R
1469.0,2021-04-28 18:31:44,Intel Xeon GOLD 5218R
1205.0,2021-04-28 18:31:39,Intel Xeon GOLD 5218R
1194.99,2021-04-28 18:31:35,Intel Xeon GOLD 5218R
1194.99,2021-04-28 18:31:29,Intel Xeon GOLD 5218R
1194.99,2021-04-28 18:31:24,Intel Xeon GOLD 5218R
898.6,2021-04-28 18:23:23,Intel Core i5-4590s and i5-4570s
215.0,2021-04-28 18:22:39,Intel Core i7-6700K
210.0,2021-04-28 18:17:28,E5-2623V4
200.0,2021-04-28 18:17:23,E5-2623V4
374.99,2021-04-28 18:16:47,NO
200.69,2021-04-28 17:59:13,intel i5 9400t
1199.0,2021-04-28 17:58:16,Xeon Gold 6148 SRB36
349.99,2021-04-28 17:48:50,NO
389.0,2021-04-28 17:35:57,Intel Xeon E5-2667 V3
206.0,2021-04-28 17:24:55,Intel Core i9-9900K
238.95,2021-04-28 17:12:20,Intel Core i7-7700
224.99,2021-04-28 17:07:21,NO
600.0,2021-04-28 16:56:53,Intel Core i7-8700K
2433.64,2021-04-28 16:55:21,Platinum 8168
3476.62,2021-04-28 16:55:21,Platinum 8176
2051.21,2021-04-28 16:55:21,Platinum 8160
2364.1,2021-04-28 16:55:21,Platinum 8153
2503.17,2021-04-28 16:55:21,Platinum 8168
3615.69,2021-04-28 16:55:20,Platinum 8268
278.13,2021-04-28 16:55:17,Bronze 3106
625.79,2021-04-28 16:55:17,Silver 4116
451.96,2021-04-28 16:55:17,Silver 4112
3128.96,2021-04-28 16:55:17,Platinum 8176M
347.66,2021-04-28 16:55:17,Silver 4110
1321.12,2021-04-28 16:55:13,Gold 6226R
1182.05,2021-04-28 16:55:13,Gold 6132
347.66,2021-04-28 16:55:13,Silver 4208
834.39,2021-04-28 16:55:13,Silver 4216
1251.58,2021-04-28 16:55:12,Gold 6142M
479.77,2021-04-28 16:55:12,Silver 4210
1599.25,2021-04-28 16:55:09,Gold 6230
1738.31,2021-04-28 16:55:09,Gold 6240
2642.23,2021-04-28 16:55:08,Gold 6246
1529.71,2021-04-28 16:55:08,Gold 6226
2085.97,2021-04-28 16:55:08,Gold 6234
2920.36,2021-04-28 16:55:08,Gold 6254
2433.64,2021-04-28 16:55:08,Gold 6248
1599.25,2021-04-28 16:55:04,Gold 5217
1042.99,2021-04-28 16:55:04,Gold 6138
2711.76,2021-04-28 16:55:04,Gold 6252
1140.33,2021-04-28 16:55:04,Gold 5215
2225.04,2021-04-28 16:55:04,Gold 6244
1912.14,2021-04-28 16:55:03,Gold 6154
2225.04,2021-04-28 16:55:03,Gold 6238
1355.88,2021-04-28 16:55:00,Gold 6142
695.32,2021-04-28 16:55:00,Gold 6130
1251.58,2021-04-28 16:55:00,Gold 6132
1807.84,2021-04-28 16:55:00,Gold 6140
1946.91,2021-04-28 16:55:00,Gold 6148
1390.65,2021-04-28 16:55:00,Gold 6134
1140.33,2021-04-28 16:54:59,Gold 6140
869.16,2021-04-28 16:54:56,Gold 5118
1112.52,2021-04-28 16:54:56,Gold 5122
1182.05,2021-04-28 16:54:56,Gold 5120
1321.12,2021-04-28 16:54:56,Gold 6126
1599.25,2021-04-28 16:54:56,Gold 6128
1842.61,2021-04-28 16:54:55,Gold 6136
1599.25,2021-04-28 16:54:55,Gold 6150
1200.0,2021-04-28 16:47:56,8180
249.99,2021-04-28 16:40:27,Intel Core i7-4770
3359.99,2021-04-28 16:37:00,Intel Core i7-6700T
205.99,2021-04-28 16:31:57,Intel Core i7-6700
219.99,2021-04-28 16:10:41,Intel Xeon E5-2690 V4
589.0,2021-04-28 15:56:08,CPUs/Processors
286.0,2021-04-28 15:54:42,Intel Xeon E5-2630L V3
1923.0,2021-04-28 15:25:48,Intel Xeon E5-2699 V4
214.95,2021-04-28 15:06:06,CPUs/Processors
385.0,2021-04-28 15:03:44,Intel Core i7-6700
441.0,2021-04-28 15:00:01,Intel Xeon E5-2640 V4
500.0,2021-04-28 14:58:27,Intel Core i5-6500
862.5,2021-04-28 14:39:05,Intel Xeon E5-2683 V4
259.0,2021-04-28 13:41:00,Intel Xeon E5-2620 V4
250.0,2021-04-28 13:03:53,NO
239.99,2021-04-28 13:03:19,Intel Xeon E5-2620 V4
216.81,2021-04-28 12:36:43,i7-8665U
270.99,2021-04-28 12:14:17,SR3QS
429.0,2021-04-28 12:08:50,NO
240.0,2021-04-28 11:54:31,Intel Xeon E5-2697 v2
1745.0,2021-04-28 11:06:00,w-3275m QS
450.0,2021-04-28 11:01:34,Intel Core i7-8700K
350.0,2021-04-28 10:30:57,intel xeon 6232 ES
1265.0,2021-04-28 09:57:05,Intel
1288.0,2021-04-28 09:44:34,Intel
1018.0,2021-04-28 09:36:41,Intel
885.0,2021-04-28 09:30:07,Intel
255.0,2021-04-28 08:27:19,Intel Core i7-9700K
299.0,2021-04-28 07:58:13,Intel Xeon Platinum 8176 ES QL1F
202.5,2021-04-28 06:57:48,NO
1850.0,2021-04-28 04:28:20,INTEL XEON 6234
400.0,2021-04-28 03:13:11,i9-10900x
2100.0,2021-04-28 03:00:47,Intel Xeon SR3B6 CD8067303406200 Gold 6148
800.0,2021-04-28 03:00:46,Intel Xeon Gold 6146
210.0,2021-04-28 02:56:45,Intel Core i7-6700K
200.69,2021-04-28 02:32:56,Intel Xeon E5-2630 V4
800.0,2021-04-28 02:30:16,Intel Xeon Gold 6146
1650.0,2021-04-28 02:20:38,8180
1300.0,2021-04-28 02:17:57,Intel Xeon Gold 6128
505.25,2021-04-28 01:33:50,Intel Xeon W-2145
800.0,2021-04-28 01:10:04,Intel Xeon Gold 6146
800.0,2021-04-28 01:00:22,Intel Xeon Gold 6146
5699.95,2021-04-28 00:39:57,Xeon Platinium 8280L
299.99,2021-04-28 00:06:09,Intel Core i5-3470S
400.0,2021-04-28 00:03:42,NO
792.0,2021-04-27 23:58:10,W-3265M
389.99,2021-04-27 23:31:15,Intel Xeon E5-2637 V4
288.0,2021-04-27 23:12:11,Intel Core i7-7700K
240.0,2021-04-27 22:43:41,Intel Xeon E5-2670 V3
200.0,2021-04-27 22:32:46,Intel Core i7-6700
220.0,2021-04-27 21:59:22,Intel Xeon E5-2680 V3
249.0,2021-04-27 21:17:32,intel core i7-10700f
275.0,2021-04-27 21:02:10,Intel Core i7-4960X
1600.0,2021-04-27 21:00:07,Intel Xeon E5-2683 V3
225.0,2021-04-27 20:33:48,Intel Xeon E3-1240 V6
269.0,2021-04-27 20:19:49,Intel Core i7-7700K
1120.0,2021-04-27 19:41:51,Processor
850.0,2021-04-27 18:59:05,Intel Core i7-7700K
200.0,2021-04-27 18:16:44,intel core i7-8086k
250.0,2021-04-27 18:08:41,Intel Core i7-8700K
300.0,2021-04-27 18:03:09,Intel Core i7-4770
500.0,2021-04-27 18:01:22,Intel XEON Gold 5218
350.0,2021-04-27 16:52:19,Intel Xeon 4110
220.0,2021-04-27 16:49:41,NO
239.99,2021-04-27 16:29:33,INTEL XEON 5-2620V4
399.99,2021-04-27 16:21:00,"Core i9-9900K, Pentium G5420"
1000.0,2021-04-27 16:08:28,Intel Xeon Platinum 8180
599.99,2021-04-27 15:39:37,INTEL XEON 5-2687WV4
350.0,2021-04-27 15:34:36,Intel Xeon E5-2697 V4
207.0,2021-04-27 14:56:47,Intel Core i7-6700T
680.0,2021-04-27 14:47:09,Intel Xeon Gold 5118
282.1,2021-04-27 14:37:40,Intel Xeon E5-2650 V2
530.0,2021-04-27 13:42:43,Processor
274.0,2021-04-27 13:37:08,Xeon Bronze 3106
200.0,2021-04-27 13:00:25,Intel Core i7-6850K
1200.0,2021-04-27 12:26:30,INTEL XEON 6134
284.99,2021-04-27 12:01:14,INTEL CORE i7-9700KF
313.5,2021-04-27 10:28:37,Intel Core i7-6950X
