soldprice,date,link
279.99,2021-04-21 21:00:40,https://www.ebay.com/itm/AMD-Ryzen-5-3600XT-Processor-Six-Core-3-8GHz-CPU-3600X-OEM-NO-HSF-/114776628415
305.0,2021-04-21 20:08:36,https://www.ebay.com/itm/AMD-Ryzen-7-3800X-3-9GHz-Octa-Core-Processor-/313502158436
260.0,2021-04-21 18:43:52,https://www.ebay.com/itm/AMD-YD190XA8AEWOF-4GHz-240V-Ryzen-Threadripper-1900X-Processor-/324584036597
201.0,2021-04-21 13:55:04,https://www.ebay.com/itm/AMD-RYZEN-7-3700X-8-Core-3-6-GHz-4-4-GHz-Max-Boost-Socket-AM4-65W-100-10000007-/284266559958
220.0,2021-04-21 13:16:24,https://www.ebay.com/itm/AMD-Ryzen-5-3600X-R5-3600X-3-8GHz-Six-Core-Twelve-Thread-CPU-Processor-7NM-95W-/133736206600
379.99,2021-04-21 00:56:13,https://www.ebay.com/itm/DELL-Only-AMD-EPYC-7401P-PS740PBEVHCAF-24C-3GHz-32MB-L3-TDP-170W-CPU-PROCESSOR-/274767340845
275.0,2021-04-20 23:08:16,https://www.ebay.com/itm/Used-Ryzen-7-3700x-/313500991011
239.96,2021-04-20 22:36:52,https://www.ebay.com/itm/AMD-YD150XBBAEBOX-Ryzen-5-1500X-Processor-Wraith-Spire-Cooler-/233975981120
380.0,2021-04-20 21:33:33,https://www.ebay.com/itm/Lot-12-AMD-Opteron-OS6282YETGGGU-OS6376WKTGGHK-0S6128WKT8E0-OS6282YETGGGU-/224433172913
2475.0,2021-04-20 14:39:40,https://www.ebay.com/itm/AMD-EPYC-7601-AMD-EPYC-7001-Series-9GZ3351V70058-Server-Processor-CPU-BP-/274766798030
270.99,2021-04-20 09:50:34,https://www.ebay.com/itm/AMD-FX-Series-FX-9590-FD9590FHW8KHK-4-7GHz-Eight-Core-Socket-AM3-CPU-Processor-/384105977404
542.69,2021-04-19 14:50:48,https://www.ebay.com/itm/AMD-EPYC-7351-CPU-PROCESSOR-16-CORE-2-40GHZ-64MB-CACHE-170W-PS7351BEVGPAF-/114773087276
466.38,2021-04-19 10:54:17,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-12-Core-Socket-AM4-3-8GHz-Desktop-Processor-100-100000023BOX-/274765259731
220.0,2021-04-19 03:26:03,https://www.ebay.com/itm/AMD-Ryzen-5-2400g-/353462253057
279.99,2021-04-18 20:27:10,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-3-6-GHz-Eight-Core-AM4-Processor-CPU-Only-/265128891109
285.0,2021-04-17 22:07:01,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-core-16-thread-Processor-Used-4-months-box-EUC-/144012190816
220.0,2021-04-17 01:23:24,https://www.ebay.com/itm/AMD-Ryzen-5-3600X-R5-3600X-3-8GHz-Six-Core-Twelve-Thread-CPU-Processor-7NM-95W-/303963650705
309.9,2021-04-17 00:25:20,https://www.ebay.com/itm/AMD-Ryzen-7-3800X-3-9GHz-8-Core-AM4-Processor-w-AMD-Wraith-Prism-Cooler-/353459541436
204.98,2021-04-16 08:21:46,https://www.ebay.com/itm/AMD-Ryzen-series-R5-2600X-R7-2700X-r3-3300x-R5-3500X-R5-3600X-Slot-AM4-CPU-/373542817722?var=642539407837&vti=
207.68,2021-04-16 08:21:46,https://www.ebay.com/itm/AMD-Ryzen-series-R5-2600X-R7-2700X-r3-3300x-R5-3500X-R5-3600X-Slot-AM4-CPU-/373542817722?var=642539407840&vti=
231.16,2021-04-16 02:03:12,https://www.ebay.com/itm/AMD-Ryzen-5-3600X-6-Core-12-Thread-Unlocked-Desktop-Processor-Wraith-Sp-/284259683193
288.0,2021-04-15 22:42:04,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-Core-3-6GHz-Processor-CPU-Used-/333961567272
3249.0,2021-04-14 20:49:44,https://www.ebay.com/itm/AMD-Phenom-II-X4-B97-Quad-Core-3-2GHz-8MB-Cach-Socket-AM2-AM3-HDXB97WFK4DGM-CPU-/284258029627
220.0,2021-04-14 14:21:08,https://www.ebay.com/itm/Ryzen-5-PRO-3400GE-3-30GHZ-CPU-Only-LOW-TDP-35W-AGPU-/144008069036
200.0,2021-04-13 20:20:20,https://www.ebay.com/itm/Lot-10-AMD-Processors-/144007352583
998.0,2021-04-13 06:20:51,https://www.ebay.com/itm/AMD-Ryzen-9-5900X-R9-5900X-3-7-4-8GHz-12Core-24Thr-Socket-AM4-105W-CPU-Processor-/174730391184
214.68,2021-04-13 00:11:32,https://www.ebay.com/itm/AMD-Ryzen-5-3600-R5-3600-3-6-GHz-Six-Core-12-Thread-Socket-AM4-CPU-Processor-/384092305741
829.99,2021-04-12 21:33:57,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2950x-16-Core-32-Threads-3-5GHz-Zen-CPU-/203346587943
3256.11,2021-04-12 16:27:22,https://www.ebay.com/itm/DELL-AMD-EPYC-7F72-CPU-PROCESSOR-24-CORE-3-2GHz-192MB-CACHE-240W-100-000000141-/124677816346
329.99,2021-04-12 15:01:23,https://www.ebay.com/itm/AMD-RYZEN-7-3700X-3-60-GHz-8-Cores-16-Threads-/284254895490
254.99,2021-04-12 15:01:23,https://www.ebay.com/itm/AMD-2700-3-20GHz-8-Cores-16-Threads-RYZEN-7-2700-SKU-16175-/284254895493
649.0,2021-04-12 10:41:58,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-R7-5800X-3-8-4-7GHz-8Core-16Thr-Socket-AM4-105W-CPU-Processor-/174729358455
468.8,2021-04-12 10:26:34,https://www.ebay.com/itm/AMD-Ryzen-5-5600X-R5-5600X-3-7-4-6GHz-6CORE-12Thr-Socket-AM4-65W-CPU-Processor-/174729347831
207.68,2021-04-12 09:28:00,https://www.ebay.com/itm/AMD-Ryzen-3-3300x-r3-3300x-3-8-4-3gh-4-Core-8thr-65w-interface-am4-CPU-processor-/174729291758
